city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Týniště nad Orlicí,50.1514,16.0778,Czechia,CZ,Královéhradecký Kraj,,6055,6055
Železný Brod,50.6428,15.2542,Czechia,CZ,Liberecký Kraj,,6051,6051
Hustopeče,48.9409,16.7376,Czechia,CZ,Jihomoravský Kraj,,5975,5975
Mníšek pod Brdy,49.8666,14.2618,Czechia,CZ,Středočeský Kraj,,5933,5933
Třebechovice pod Orebem,50.2010,15.9923,Czechia,CZ,Královéhradecký Kraj,,5771,5771
Týnec nad Sázavou,49.8335,14.5899,Czechia,CZ,Středočeský Kraj,,5739,5739
Moravský Krumlov,49.0490,16.3117,Czechia,CZ,Jihomoravský Kraj,,5715,5715
Třešť,49.2910,15.4821,Czechia,CZ,Vysočina,,5714,5714
Rousínov,49.2013,16.8822,Czechia,CZ,Jihomoravský Kraj,,5694,5694
Vítkov,49.7744,17.7495,Czechia,CZ,Moravskoslezský Kraj,,5670,5670
Šluknov,51.0038,14.4527,Czechia,CZ,Ústecký Kraj,,5653,5653
Úpice,50.5124,16.0162,Czechia,CZ,Královéhradecký Kraj,,5639,5639
Fulnek,49.7124,17.9032,Czechia,CZ,Moravskoslezský Kraj,,5592,5592
Kunovice,49.0450,17.4701,Czechia,CZ,Zlínský Kraj,,5579,5579
Nové Strašecí,50.1528,13.9005,Czechia,CZ,Středočeský Kraj,,5572,5572
Lomnice nad Popelkou,50.5307,15.3735,Czechia,CZ,Liberecký Kraj,,5554,5554
Zubří,49.4660,18.0925,Czechia,CZ,Zlínský Kraj,,5547,5547
Strážnice,48.9010,17.3168,Czechia,CZ,Jihomoravský Kraj,,5537,5537
Hradec nad Moravici,49.8710,17.8759,Czechia,CZ,Moravskoslezský Kraj,,5506,5506
Chlumec nad Cidlinou,50.1545,15.4603,Czechia,CZ,Královéhradecký Kraj,,5501,5501
Jablunkov,49.5767,18.7646,Czechia,CZ,Moravskoslezský Kraj,,5474,5474
Františkovy Lázně,50.1205,12.3518,Czechia,CZ,Karlovarský Kraj,,5461,5461
Hluboká nad Vltavou,49.0523,14.4343,Czechia,CZ,Jihočeský Kraj,,5419,5419
Horní Slavkov,50.1387,12.8077,Czechia,CZ,Karlovarský Kraj,,5403,5403
Jilemnice,50.6089,15.5066,Czechia,CZ,Liberecký Kraj,,5401,5401
Planá,49.8683,12.7438,Czechia,CZ,Plzeňský Kraj,,5396,5396
Stochov,50.1464,13.9635,Czechia,CZ,Středočeský Kraj,,5392,5392
Modřice,49.1279,16.6144,Czechia,CZ,Jihomoravský Kraj,,5329,5329
Telč,49.1842,15.4528,Czechia,CZ,Vysočina,,5273,5273
Velká Bíteš,49.2887,16.2259,Czechia,CZ,Vysočina,,5243,5243
Horažďovice,49.3208,13.7010,Czechia,CZ,Plzeňský Kraj,,5240,5240
Česká Kamenice,50.7979,14.4178,Czechia,CZ,Ústecký Kraj,,5235,5235
Kosmonosy,50.4386,14.9301,Czechia,CZ,Středočeský Kraj,,5233,5233
Trhové Sviny,48.8424,14.6392,Czechia,CZ,Jihočeský Kraj,,5207,5207
Doksy,50.5648,14.6556,Czechia,CZ,Liberecký Kraj,,5186,5186
Kdyně,49.3909,13.0397,Czechia,CZ,Plzeňský Kraj,,5183,5183
Bakov nad Jizerou,50.4824,14.9416,Czechia,CZ,Středočeský Kraj,,5175,5175
Holýšov,49.5937,13.1013,Czechia,CZ,Plzeňský Kraj,,5173,5173
Jílové,50.7609,14.1039,Czechia,CZ,Ústecký Kraj,,5162,5162
Rudná,50.0351,14.2344,Czechia,CZ,Středočeský Kraj,,5153,5153
Starý Plzenec,49.6978,13.4736,Czechia,CZ,Plzeňský Kraj,,5151,5151
Polná,49.4870,15.7188,Czechia,CZ,Vysočina,,5150,5150
Pohořelice,48.9812,16.5245,Czechia,CZ,Jihomoravský Kraj,,5133,5133
